Order,Image name,Plot ID,Block,Caging,Fertilized,Comb treatment,Front/back,Coral species,Coral ID,Parent colony,Coral Area,Turf area,Tissue loss,Prop turf overgrowth,Prop mortality,Prop overgrowth or mortality,,,,,,,,
1,1C back,1C,1,Uncaged,Unfertilized,Control,Back,Acropora,AP-8-C,AP-8,7.736,0,0,0,0,0,,,,,,,,3000
2,1C back,1C,1,Uncaged,Unfertilized,Control,Back,Porites,PR-2-C,PR-2,12.104,0.395,0,0.03263384,0,0.03263384,,,,,,,,
3,1C front,1C,1,Uncaged,Unfertilized,Control,Front,Acropora,AP-8-C,AP-8,8.775,0,0,0,0,0,,,,,,,,
4,1C front,1C,1,Uncaged,Unfertilized,Control,Front,Porites,PR-2-C,PR-2,11.127,0.895,0,0.080434978,0,0.080434978,,,,,,,,
5,1H back,1H,1,Caged,Unfertilized,Caged,Back,Acropora,AP-7-H,AP-7,11.878,0,0,0,0,0,,,,,,,,
6,1H back,1H,1,Caged,Unfertilized,Caged,Back,Porites,PR-1-H,PR-1,17.944,1.439,0,0.080193937,0,0.080193937,,,,,,,,
7,1H front,1H,1,Caged,Unfertilized,Caged,Front,Acropora,AP-7-H,AP-7,9.735,0.261,0,0.026810478,0,0.026810478,,,,,,,,
8,1H front,1H,1,Caged,Unfertilized,Caged,Front,Porites,PR-1-H,PR-1,20.111,5.188,1.622,0.257968276,0.080652379,0.338620655,,,,,,,,
9,1N back,1N,1,Uncaged,Fertilized,Fertilized,Back,Acropora,AP-12-N,AP-12,7.448,0,0,0,0,0,,,,,,,,
10,1N back,1N,1,Uncaged,Fertilized,Fertilized,Back,Porites,PR-12-N,PR-12,13.89,3.213,0,0.231317495,0,0.231317495,,,,,,,,
11,1N front,1N,1,Uncaged,Fertilized,Fertilized,Front,Acropora,AP-12-N,AP-12,5.811,0,0,0,0,0,,,,,,,,
12,1N front,1N,1,Uncaged,Fertilized,Fertilized,Front,Porites,PR-12-N,PR-12,8.994,1.538,0,0.171002891,0,0.171002891,,,,,,,,
13,1X back,1X,1,Caged,Fertilized,Caged x Fertilized,Back,Acropora,AP-10-X,AP-10,17.702,0.195,0,0.011015704,0,0.011015704,,,,,,,,
14,1X back,1X,1,Caged,Fertilized,Caged x Fertilized,Back,Porites,PR-1-X,PR-1,15.437,2.062,1.185,0.133575177,0.07676362,0.210338796,,,,,,,,
15,1X front,1X,1,Caged,Fertilized,Caged x Fertilized,Front,Acropora,AP-10-X,AP-10,12.492,0.205,0,0.016410503,0,0.016410503,,,,,,,,
16,1X front,1X,1,Caged,Fertilized,Caged x Fertilized,Front,Porites,PR-1-X,PR-1,12.988,4.765,0.468,0.366877117,0.036033261,0.402910379,,,,,,,,
17,2C back,2C,2,Uncaged,Unfertilized,Control,Back,Acropora,AP-1-C,AP-1,3.926,0,0,0,0,0,,,,,,,,
18,2C back,2C,2,Uncaged,Unfertilized,Control,Back,Porites,PR-6-C,PR-6,13.351,1.011,0,0.075724665,0,0.075724665,,,,,,,,
19,2C front,2C,2,Uncaged,Unfertilized,Control,Front,Acropora,AP-1-C,AP-1,5.176,0,0,0,0,0,,,,,,,,
20,2C front,2C,2,Uncaged,Unfertilized,Control,Front,Porites,PR-6-C,PR-6,13.289,0.577,0,0.043419369,0,0.043419369,,,,,,,,
21,2H back,2H,2,Caged,Unfertilized,Caged,Back,Acropora,AP-2-H,AP-2,10.327,0,0,0,0,0,,,,,,,,
22,2H back,2H,2,Caged,Unfertilized,Caged,Back,Porites,PR-11-H,PR-11,22.263,3.055,1.064,0.137223195,0.047792301,0.185015497,,,,,,,,
23,2H front,2H,2,Caged,Unfertilized,Caged,Front,Acropora,AP-2-H,AP-2,5.677,0,0,0,0,0,,,,,,,,
24,2H front,2H,2,Caged,Unfertilized,Caged,Front,Porites,PR-11-H,PR-11,13.037,2.07,1.566,0.15877886,0.120119659,0.27889852,,,,,,,,
25,2N back,2N,2,Uncaged,Fertilized,Fertilized,Back,Acropora,AP-6-N,AP-6,8.827,0,0,0,0,0,,,,,,,,
26,2N back,2N,2,Uncaged,Fertilized,Fertilized,Back,Porites,PR-3-N,PR-3,18.001,0,0,0,0,0,,,,,,,,
27,2N front,2N,2,Uncaged,Fertilized,Fertilized,Front,Acropora,AP-6-N,AP-6,7.837,0,0,0,0,0,,,,,,,,
28,2N front,2N,2,Uncaged,Fertilized,Fertilized,Front,Porites,PR-3-N,PR-3,23.523,2.51,1.906,0.106704077,0.08102708,0.187731157,,,,,,,,
29,2X back,2X,2,Caged,Fertilized,Caged x Fertilized,Back,Acropora,AP-1-X,AP-1,12.29,0,0,0,0,0,,,,,,,,
30,2X back,2X,2,Caged,Fertilized,Caged x Fertilized,Back,Porites,PR-5-X,PR-5,19.982,10.357,0,0.518316485,0,0.518316485,,,,,,,,
31,2X front,2X,2,Caged,Fertilized,Caged x Fertilized,Front,Acropora,AP-1-X,AP-1,9.729,0.377,0,0.038750128,0,0.038750128,,,,,,,,
32,2X front,2X,2,Caged,Fertilized,Caged x Fertilized,Front,Porites,PR-5-X,PR-5,19.632,9.924,0,0.505501223,0,0.505501223,,,,,,,,
33,3C back,3C,3,Uncaged,Unfertilized,Control,Back,Acropora,AP-4-C,AP-4,8.291,0,0,0,0,0,,,,,,,,
34,3C back,3C,3,Uncaged,Unfertilized,Control,Back,Porites,PR-5-C,PR-5,11.307,0.739,0,0.065357743,0,0.065357743,,,,,,,,
35,3C front,3C,3,Uncaged,Unfertilized,Control,Front,Acropora,AP-4-C,AP-4,12.243,0,0,0,0,0,,,,,,,,
36,3C front,3C,3,Uncaged,Unfertilized,Control,Front,Porites,PR-5-C,PR-5,17.257,0.688,0,0.03986788,0,0.03986788,,,,,,,,
37,3H back,3H,3,Caged,Unfertilized,Caged,Back,Acropora,AP-5-H,AP-5,8.014,0,0,0,0,0,,,,,,,,
38,3H back,3H,3,Caged,Unfertilized,Caged,Back,Porites,PR-8-H,PR-8,25.945,9.074,0,0.349739834,0,0.349739834,,,,,,,,
39,3H front,3H,3,Caged,Unfertilized,Caged,Front,Acropora,AP-5-H,AP-5,8.529,0,0,0,0,0,,,,,,,,
40,3H front,3H,3,Caged,Unfertilized,Caged,Front,Porites,PR-8-H,PR-8,17.711,9.166,0,0.517531478,0,0.517531478,,,,,,,,
41,3N back,3N,3,Uncaged,Fertilized,Fertilized,Back,Acropora,AP-4-N,AP-4,8.117,0,0,0,0,0,,,,,,,,
42,3N back,3N,3,Uncaged,Fertilized,Fertilized,Back,Porites,PR-7-N,PR-7,10.785,0.827,0,0.076680575,0,0.076680575,,,,,,,,
43,3N front,3N,3,Uncaged,Fertilized,Fertilized,Front,Acropora,AP-4-N,AP-4,9.506,0.142,0,0.014937934,0,0.014937934,,,,,,,,
44,3N front,3N,3,Uncaged,Fertilized,Fertilized,Front,Porites,PR-7-N,PR-7,20.348,7.064,0,0.347159426,0,0.347159426,,,,,,,,
45,3X back,3X,3,Caged,Fertilized,Caged x Fertilized,Back,Acropora,AP-12-X,AP-12,15.006,0.229,0,0.015260562,0,0.015260562,,,,,,,,
46,3X back,3X,3,Caged,Fertilized,Caged x Fertilized,Back,Porites,PR-11-X,PR-11,20.998,2.702,0,0.128678922,0,0.128678922,,,,,,,,
47,3X front,3X,3,Caged,Fertilized,Caged x Fertilized,Front,Acropora,AP-12-X,AP-12,14.725,0.353,0,0.023972835,0,0.023972835,,,,,,,,
48,3X front,3X,3,Caged,Fertilized,Caged x Fertilized,Front,Porites,PR-11-X,PR-11,10.92,0.949,0,0.086904762,0,0.086904762,,,,,,,,
49,4C back,4C,4,Uncaged,Unfertilized,Control,Back,Acropora,AP-12-C,AP-12,4.284,0,0,0,0,0,,,,,,,,
50,4C back,4C,4,Uncaged,Unfertilized,Control,Back,Porites,PR-C-3,PR-C,16.782,1.338,0,0.07972828,0,0.07972828,,,,,,,,
51,4C front,4C,4,Uncaged,Unfertilized,Control,Front,Acropora,AP-12-C,AP-12,5.077,0.018,0,0.003545401,0,0.003545401,,,,,,,,
52,4C front,4C,4,Uncaged,Unfertilized,Control,Front,Porites,PR-C-3,PR-C,20.279,0.71,0,0.035011588,0,0.035011588,,,,,,,,
53,4H back,4H,4,Caged,Unfertilized,Caged,Back,Acropora,AP-10-H,AP-10,15.181,1.63,0,0.107371056,0,0.107371056,,,,,,,,
54,4H back,4H,4,Caged,Unfertilized,Caged,Back,Porites,PR-6-H,PR-6,16.47,1.476,0,0.089617486,0,0.089617486,,,,,,,,
55,4H front,4H,4,Caged,Unfertilized,Caged,Front,Acropora,AP-10-H,AP-10,14.375,1.712,0,0.119095652,0,0.119095652,,,,,,,,
56,4H front,4H,4,Caged,Unfertilized,Caged,Front,Porites,PR-6-H,PR-6,14.324,1.34,0,0.093549288,0,0.093549288,,,,,,,,
57,4N back,4N,4,Uncaged,Fertilized,Fertilized,Back,Acropora,AP-3-N,AP-3,7.762,0,0,0,0,0,,,,,,,,
58,4N back,4N,4,Uncaged,Fertilized,Fertilized,Back,Porites,PR-10-N,PR-10,12.988,0.832,0,0.064059132,0,0.064059132,,,,,,,,
59,4N front,4N,4,Uncaged,Fertilized,Fertilized,Front,Acropora,AP-3-N,AP-3,6.536,0,0,0,0,0,,,,,,,,
60,4N front,4N,4,Uncaged,Fertilized,Fertilized,Front,Porites,PR-10-N,PR-10,9.488,0,0,0,0,0,,,,,,,,
61,4X back,4X,4,Caged,Fertilized,Caged x Fertilized,Back,Acropora,AP-5-X,AP-5,21.021,0,0,0,0,0,,,,,,,,
62,4X back,4X,4,Caged,Fertilized,Caged x Fertilized,Back,Porites,PR-3-X,PR-3,21.326,0,0,0,0,0,,,,,,,,
63,4X front,4X,4,Caged,Fertilized,Caged x Fertilized,Front,Acropora,AP-5-X,AP-5,14.465,0,0,0,0,0,,,,,,,,
64,4X front,4X,4,Caged,Fertilized,Caged x Fertilized,Front,Porites,PR-3-X,PR-3,10.595,0,0,0,0,0,,,,,,,,
65,5C back,5C,5,Uncaged,Unfertilized,Control,Back,Acropora,AP-5-C,AP-5,8.137,0,0,0,0,0,,,,,,,,
66,5C back,5C,5,Uncaged,Unfertilized,Control,Back,Porites,PR-11-C,PR-11,13,0.274,0,0.021076923,0,0.021076923,,,,,,,,
67,5C front,5C,5,Uncaged,Unfertilized,Control,Front,Acropora,AP-5-C,AP-5,9.039,0,0,0,0,0,,,,,,,,
68,5C front,5C,5,Uncaged,Unfertilized,Control,Front,Porites,PR-11-C,PR-11,14.368,0.249,0,0.017330178,0,0.017330178,,,,,,,,
69,5H back,5H,5,Caged,Unfertilized,Caged,Back,Acropora,AP-12-H,AP-12,20.595,0.111,0,0.005389658,0,0.005389658,,,,,,,,
70,5H back,5H,5,Caged,Unfertilized,Caged,Back,Porites,PR-10-H,PR-10,15.769,0.923,0,0.058532564,0,0.058532564,,,,,,,,
71,5H front,5H,5,Caged,Unfertilized,Caged,Front,Acropora,AP-12-H,AP-12,17.823,0,0,0,0,0,,,,,,,,
72,5H front,5H,5,Caged,Unfertilized,Caged,Front,Porites,PR-10-H,PR-10,14.161,1.707,0,0.120542335,0,0.120542335,,,,,,,,
73,5N back,5N,5,Uncaged,Fertilized,Fertilized,Back,Acropora,AP-7-N,AP-7,6.204,0.126,0,0.020309478,0,0.020309478,,,,,,,,
74,5N back,5N,5,Uncaged,Fertilized,Fertilized,Back,Porites,PR-11-N,PR-11,17.632,0.472,0,0.02676951,0,0.02676951,,,,,,,,
75,5N front,5N,5,Uncaged,Fertilized,Fertilized,Front,Acropora,AP-7-N,AP-7,7.251,0,0,0,0,0,,,,,,,,
76,5N front,5N,5,Uncaged,Fertilized,Fertilized,Front,Porites,PR-11-N,PR-11,15.853,2.518,0,0.15883429,0,0.15883429,,,,,,,,
77,5X back,5X,5,Caged,Fertilized,Caged x Fertilized,Back,Acropora,AP-3-X,AP-3,13.82,0,0,0,0,0,,,,,,,,
78,5X back,5X,5,Caged,Fertilized,Caged x Fertilized,Back,Porites,PR-12-X,PR-12,11.261,0.617,0,0.054790871,0,0.054790871,,,,,,,,
79,5X front,5X,5,Caged,Fertilized,Caged x Fertilized,Front,Acropora,AP-3-X,AP-3,14.791,0,0,0,0,0,,,,,,,,
80,5X front,5X,5,Caged,Fertilized,Caged x Fertilized,Front,Porites,PR-12-X,PR-12,14.437,0.697,0,0.048278728,0,0.048278728,,,,,,,,
81,6C back,6C,6,Uncaged,Unfertilized,Control,Back,Acropora,AP-9-C,AP-9,4.411,0,0,0,0,0,,,,,,,,
82,6C back,6C,6,Uncaged,Unfertilized,Control,Back,Porites,PR-9-C,PR-9,17.806,1.758,2.371,0.098730765,0.133157363,0.231888128,,,,,,,,
83,6C front,6C,6,Uncaged,Unfertilized,Control,Front,Acropora,AP-9-C,AP-9,4.973,0,0,0,0,0,,,,,,,,
84,6C front,6C,6,Uncaged,Unfertilized,Control,Front,Porites,PR-9-C,PR-9,21.879,0.804,3.204,0.036747566,0.146441794,0.18318936,,,,,,,,
