Order,Date,Week,Start time,Runtime,Runtime min,Plot ID,Fertilized,Block,Fish code,Fish spp,Acropora bites,Porites Bites
1,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,CTST,Ctenochaetus striatus,0,1
2,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,CHSP,Chlorurus spilurus,0,0
3,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,POPA,Pomacentrus pavo,0,0
4,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,ZESC,Zebrasoma scopas,0,0
5,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,ACTR,Acanthurus triostegus,0,0
6,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,CHEP,Chaetodon ephippium,0,0
7,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,SCPS,Scarus psittacus,0,0
8,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,ACBL,Acanthurus blochii,0,0
9,04/09/2023,4,1100,1:26:13,86.21666667,1C,N,1,TOTAL,TOTAL,0,1
10,03/12/2023,0,1137,1:19:19,79.31666667,1C,N,1,TOTAL,TOTAL,0,0
11,03/26/2023,2,1132,1:24:56,84.93333333,1C,N,1,CTST,Ctenochaetus striatus,0,0
12,03/26/2023,2,1132,1:24:56,84.93333333,1C,N,1,ACTR,Acanthurus triostegus,0,0
13,03/26/2023,2,1132,1:24:56,84.93333333,1C,N,1,CHSP,Chlorurus spilurus,0,0
14,03/26/2023,2,1132,1:24:56,84.93333333,1C,N,1,TOTAL,TOTAL,0,0
15,04/09/2023,4,1101,1:19:54,79.9,1N,Y,1,CHLU,Chaetodon lunulatus,5,0
16,04/09/2023,4,1101,1:19:54,79.9,1N,Y,1,SCPS,Scarus psittacus,0,10
17,04/09/2023,4,1101,1:19:54,79.9,1N,Y,1,CTST,Ctenochaetus striatus,0,0
18,04/09/2023,4,1101,1:19:54,79.9,1N,Y,1,CHCI,Chaetodon citrinellus,0,0
19,04/09/2023,4,1101,1:19:54,79.9,1N,Y,1,ACTR,Acanthurus triostegus,0,0
20,04/09/2023,4,1101,1:19:54,79.9,1N,Y,1,ACBL,Acanthurus blochii,0,0
21,04/09/2023,4,1101,1:19:54,79.9,1N,Y,1,TOTAL,TOTAL,5,10
22,03/12/2023,0,1136,1:21:03,81.05,1N,Y,1,TOTAL,TOTAL,0,0
23,03/26/2023,2,1132,1:20:22,80.36666667,1N,Y,1,CTST,Ctenochaetus striatus,0,3
24,03/26/2023,2,1132,1:20:22,80.36666667,1N,Y,1,CHCI,Chaetodon citrinellus,0,0
25,03/26/2023,2,1132,1:20:22,80.36666667,1N,Y,1,ACBL,Acanthurus blochii,0,0
26,03/26/2023,2,1132,1:20:22,80.36666667,1N,Y,1,SCPS,Scarus psittacus,0,0
27,03/26/2023,2,1132,1:20:22,80.36666667,1N,Y,1,TOTAL,TOTAL,0,3
28,04/09/2023,4,1102,1:23:26,83.43333333,2C,N,2,CTST,Ctenochaetus striatus,0,0
29,04/09/2023,4,1102,1:23:26,83.43333333,2C,N,2,ZESC,Zebrasoma scopas,0,0
30,04/09/2023,4,1102,1:23:26,83.43333333,2C,N,2,ACTR,Acanthurus triostegus,0,0
31,04/09/2023,4,1102,1:23:26,83.43333333,2C,N,2,SCPS,Scarus psittacus,0,0
32,04/09/2023,4,1102,1:23:26,83.43333333,2C,N,2,RHAC,Rhinecanthus aculeatus,0,0
33,04/09/2023,4,1102,1:23:26,83.43333333,2C,N,2,TOTAL,TOTAL,0,0
34,03/12/2023,0,1133,1:22:48,82.8,2C,N,2,TOTAL,TOTAL,0,0
35,03/26/2023,2,1135,1:20:37,80.61666667,2C,N,2,CHLU,Chaetodon lunulatus,12,0
36,03/26/2023,2,1135,1:20:37,80.61666667,2C,N,2,CTST,Ctenochaetus striatus,0,0
37,03/26/2023,2,1135,1:20:37,80.61666667,2C,N,2,ACBL,Acanthurus blochii,0,0
38,03/26/2023,2,1135,1:20:37,80.61666667,2C,N,2,RHAC,Rhinecanthus aculeatus,0,0
